College name,College url,Campus url,Campus,Address,Latitude,Longitude
Academia Australia,https://www.studiesinaustralia.com/courses-in-australia/academia-australia,https://www.studiesinaustralia.com/courses-in-australia/academia-australia/campuses,Adelaide,"Level 18, 45 Grenfell Street Adelaide South Australia 5000",-34.924614,138.601416
Academia Australia,https://www.studiesinaustralia.com/courses-in-australia/academia-australia,https://www.studiesinaustralia.com/courses-in-australia/academia-australia/campuses,Melbourne,399 Lonsdale Street Melbourne Victoria 3000,-37.8130231,144.9606243
Academia Australia,https://www.studiesinaustralia.com/courses-in-australia/academia-australia,https://www.studiesinaustralia.com/courses-in-australia/academia-australia/campuses,Spring Hill,41 Raff Street Spring Hill Queensland 4000,-27.4621638,153.0293339
Academies Australasia Institute Pty Ltd,https://www.studiesinaustralia.com/courses-in-australia/academies-australasia-institute-pty-ltd,https://www.studiesinaustralia.com/courses-in-australia/academies-australasia-institute-pty-ltd/campuses,Armidale,Northern Territory 0,,
Academies Australasia Institute Pty Ltd,https://www.studiesinaustralia.com/courses-in-australia/academies-australasia-institute-pty-ltd,https://www.studiesinaustralia.com/courses-in-australia/academies-australasia-institute-pty-ltd/campuses,Brisbane,,,
Academies Australasia Institute Pty Ltd,https://www.studiesinaustralia.com/courses-in-australia/academies-australasia-institute-pty-ltd,https://www.studiesinaustralia.com/courses-in-australia/academies-australasia-institute-pty-ltd/campuses,Perth,Queensland,-22.575197,144.0847926
Academies Australasia Institute Pty Ltd,https://www.studiesinaustralia.com/courses-in-australia/academies-australasia-institute-pty-ltd,https://www.studiesinaustralia.com/courses-in-australia/academies-australasia-institute-pty-ltd/campuses,Sydney,"Level 6, 505 George Street Sydney New South Wales 2000",-33.8750995,151.2059774
Academies Australasia Polytechnic,https://www.studiesinaustralia.com/courses-in-australia/academies-australasia-polytechnic,https://www.studiesinaustralia.com/courses-in-australia/academies-australasia-polytechnic/campuses,Melbourne,"Level 7, 628 Bourke Street Melbourne Victoria 3000",-37.8162786,144.954933
Academies Australasia Polytechnic,https://www.studiesinaustralia.com/courses-in-australia/academies-australasia-polytechnic,https://www.studiesinaustralia.com/courses-in-australia/academies-australasia-polytechnic/campuses,Sydney,"Level 6-7, 333 Kent Street Sydney New South Wales 2000",-33.8680155,151.2042438
Academique Pty Ltd,https://www.studiesinaustralia.com/courses-in-australia/academique-pty-ltd,https://www.studiesinaustralia.com/courses-in-australia/academique-pty-ltd/campuses,"Southport, Davenport Street","Level 3, 52 Davenport Street Southport Queensland 4215",-27.967155,153.412024
Academique Pty Ltd,https://www.studiesinaustralia.com/courses-in-australia/academique-pty-ltd,https://www.studiesinaustralia.com/courses-in-australia/academique-pty-ltd/campuses,"Southport, Rawlins Street",18 Rawlins Street Southport Queensland 4215,-27.9671006,153.4106086
Academique Pty Ltd,https://www.studiesinaustralia.com/courses-in-australia/academique-pty-ltd,https://www.studiesinaustralia.com/courses-in-australia/academique-pty-ltd/campuses,Sunnybank,12 Zamia Street Sunnybank Queensland 4109,-27.5706224,153.0617186
Academy of Information Technology Pty Ltd,https://www.studiesinaustralia.com/courses-in-australia/academy-of-information-technology-pty-ltd,https://www.studiesinaustralia.com/courses-in-australia/academy-of-information-technology-pty-ltd/campuses,Melbourne,"Level 8, 120 Spencer Street Melbourne Victoria 3000",-37.8181906,144.9542638
Academy of Information Technology Pty Ltd,https://www.studiesinaustralia.com/courses-in-australia/academy-of-information-technology-pty-ltd,https://www.studiesinaustralia.com/courses-in-australia/academy-of-information-technology-pty-ltd/campuses,Sydney,"Level 2, 7 Kelly Street Ultimo New South Wales 2007",-33.8819583,151.1954008
Academy of Interactive Entertainment (AIE),https://www.studiesinaustralia.com/courses-in-australia/academy-of-interactive-entertainment-aie,https://www.studiesinaustralia.com/courses-in-australia/academy-of-interactive-entertainment-aie/campuses,Adelaide,3/36 Grenfell Street Adelaide South Australia 5000,,
Academy of Interactive Entertainment (AIE),https://www.studiesinaustralia.com/courses-in-australia/academy-of-interactive-entertainment-aie,https://www.studiesinaustralia.com/courses-in-australia/academy-of-interactive-entertainment-aie/campuses,Canberra,49 Phillip Avenue Watson Australian Capital Territory 2602,-35.239917,149.1495699
Academy of Interactive Entertainment (AIE),https://www.studiesinaustralia.com/courses-in-australia/academy-of-interactive-entertainment-aie,https://www.studiesinaustralia.com/courses-in-australia/academy-of-interactive-entertainment-aie/campuses,Melbourne,"Tower 4, World Trade Centre, Atrium Lvl 18-38 Siddeley Street Docklands Victoria 3008",,
Academy of Interactive Entertainment (AIE),https://www.studiesinaustralia.com/courses-in-australia/academy-of-interactive-entertainment-aie,https://www.studiesinaustralia.com/courses-in-australia/academy-of-interactive-entertainment-aie/campuses,Sydney,"Level 2, Wentworth Park Sports Complex Wattle Street Ultimo New South Wales 2007",,
"Academy of International Education (Australia), The",https://www.studiesinaustralia.com/courses-in-australia/academy-of-international-education-australia-the,https://www.studiesinaustralia.com/courses-in-australia/academy-of-international-education-australia-the/campuses,Craigieburn,67A Hamilton Street Craigieburn Victoria 3064,-37.591687,144.9414355
"Academy of International Education (Australia), The",https://www.studiesinaustralia.com/courses-in-australia/academy-of-international-education-australia-the,https://www.studiesinaustralia.com/courses-in-australia/academy-of-international-education-australia-the/campuses,Richmond,47 Butler Street Richmond Victoria 3121,-37.810523,144.995164
Academy of Music and Performing Arts,https://www.studiesinaustralia.com/courses-in-australia/academy-of-music-and-performing-arts,https://www.studiesinaustralia.com/courses-in-australia/academy-of-music-and-performing-arts/campuses,Surry Hills,136 Chalmers Street Surry Hills New South Wales 2010,-33.8872468,151.2069202
Acknowledge Education,https://www.studiesinaustralia.com/courses-in-australia/acknowledge-education,https://www.studiesinaustralia.com/courses-in-australia/acknowledge-education/campuses,Acknowledge Creativity: Melbourne,168 Exhibition Street Melbourne Victoria 3000,-37.8115272,144.9705581
