College name,College url,Undergraduate rating url,Postgraduate rating url,Undergraduate Graduate salary in dollar,Undergraduate Staff qualification in percentage,Undergraduate Student Teacher ratio,Undergraduate Full time employment in percentage,Postgraduate Graduate salary in dollar,Postgraduate Staff qualification in percentage,Postgraduate Student Teacher ratio,Postgraduate Full time employment in percentage
ACU English Language Centres,https://www.studiesinaustralia.com/courses-in-australia/acu-english-language-centres/ratings-rankings,https://www.studiesinaustralia.com/courses-in-australia/acu-english-language-centres/ratings-rankings/undergraduate,https://www.studiesinaustralia.com/courses-in-australia/acu-english-language-centres/ratings-rankings/postgraduate,"58,600",74.0,27:1,73.5,"68,800",74.0,27:1,91.4
Australian Catholic University (ACU),https://www.studiesinaustralia.com/courses-in-australia/australian-catholic-university-acu/ratings-rankings,https://www.studiesinaustralia.com/courses-in-australia/australian-catholic-university-acu/ratings-rankings/undergraduate,https://www.studiesinaustralia.com/courses-in-australia/australian-catholic-university-acu/ratings-rankings/postgraduate,"58,600",74.0,27:1,73.5,"68,800",74.0,27:1,91.4
Australian National University (ANU),https://www.studiesinaustralia.com/courses-in-australia/australian-national-university-anu/ratings-rankings,https://www.studiesinaustralia.com/courses-in-australia/australian-national-university-anu/ratings-rankings/undergraduate,https://www.studiesinaustralia.com/courses-in-australia/australian-national-university-anu/ratings-rankings/postgraduate,"52,600",91.0,11:1,68.7,"70,700",91.0,11:1,87.1
Avondale University,https://www.studiesinaustralia.com/courses-in-australia/avondale-university/ratings-rankings,https://www.studiesinaustralia.com/courses-in-australia/avondale-university/ratings-rankings/undergraduate,https://www.studiesinaustralia.com/courses-in-australia/avondale-university/ratings-rankings/postgraduate,,,,,,,,
Bond University,https://www.studiesinaustralia.com/courses-in-australia/bond-university/ratings-rankings,https://www.studiesinaustralia.com/courses-in-australia/bond-university/ratings-rankings/undergraduate,https://www.studiesinaustralia.com/courses-in-australia/bond-university/ratings-rankings/postgraduate,"45,900",59.0,11:1,64.4,"58,200",59.0,11:1,79.8
Charles Darwin University (CDU),https://www.studiesinaustralia.com/courses-in-australia/charles-darwin-university-cdu/ratings-rankings,https://www.studiesinaustralia.com/courses-in-australia/charles-darwin-university-cdu/ratings-rankings/undergraduate,https://www.studiesinaustralia.com/courses-in-australia/charles-darwin-university-cdu/ratings-rankings/postgraduate,"61,400",60.0,36:1,78.9,"68,400",60.0,36:1,93.4
Charles Sturt University,https://www.studiesinaustralia.com/courses-in-australia/charles-sturt-university/ratings-rankings,https://www.studiesinaustralia.com/courses-in-australia/charles-sturt-university/ratings-rankings/undergraduate,https://www.studiesinaustralia.com/courses-in-australia/charles-sturt-university/ratings-rankings/postgraduate,"64,100",53.0,25:1,85.3,"78,900",53.0,25:1,89.8
CQUniversity Australia,https://www.studiesinaustralia.com/courses-in-australia/cquniversity-australia/ratings-rankings,https://www.studiesinaustralia.com/courses-in-australia/cquniversity-australia/ratings-rankings/undergraduate,https://www.studiesinaustralia.com/courses-in-australia/cquniversity-australia/ratings-rankings/postgraduate,"63,300",60.0,,79.0,"73,200",60.0,,89.5
Curtin University,https://www.studiesinaustralia.com/courses-in-australia/curtin-university/ratings-rankings,https://www.studiesinaustralia.com/courses-in-australia/curtin-university/ratings-rankings/undergraduate,https://www.studiesinaustralia.com/courses-in-australia/curtin-university/ratings-rankings/postgraduate,"53,200",82.0,25:1,70.8,"70,900",82.0,25:1,77.5
Deakin University,https://www.studiesinaustralia.com/courses-in-australia/deakin-university/ratings-rankings,https://www.studiesinaustralia.com/courses-in-australia/deakin-university/ratings-rankings/undergraduate,https://www.studiesinaustralia.com/courses-in-australia/deakin-university/ratings-rankings/postgraduate,"49,300",77.0,26:1,70.5,"63,100",77.0,26:1,84.0
