Start Time,Url,Status Code,File Size,Operation,Time Delay,End Time,Elapsed Time
"19/09/2023, 12:34:19.215547",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=1,200,81 KB,Get universities or institution url,0 sec,"19/09/2023, 12:34:21.006366",1.7908189296722412
"19/09/2023, 13:31:52.390352",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=153,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:31:53.752352",1.3620002269744873
"19/09/2023, 13:32:35.138488",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=153,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:32:36.645404",1.5069165229797363
"19/09/2023, 13:33:23.667448",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=153,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:33:25.048344",1.3808960914611816
"19/09/2023, 13:33:56.858636",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=153,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:33:57.985077",1.126441478729248
"19/09/2023, 13:35:06.206907",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=153,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:35:07.327816",1.1209092140197754
"19/09/2023, 13:35:07.380727",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=154,200,77 KB,Get universities or institution url,0 sec,"19/09/2023, 13:35:08.502835",1.1231815814971924
"19/09/2023, 13:41:51.168962",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=1,200,81 KB,Get universities or institution url,0 sec,"19/09/2023, 13:41:52.288758",1.1197960376739502
"19/09/2023, 13:45:06.632679",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=1,200,81 KB,Get universities or institution url,0 sec,"19/09/2023, 13:45:07.905168",1.2724883556365967
"19/09/2023, 13:45:26.831095",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=1,200,81 KB,Get universities or institution url,0 sec,"19/09/2023, 13:45:27.951941",1.1208457946777344
"19/09/2023, 13:46:27.516898",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=1,200,81 KB,Get universities or institution url,0 sec,"19/09/2023, 13:46:28.842592",1.3256933689117432
"19/09/2023, 13:47:04.804835",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=1,200,81 KB,Get universities or institution url,0 sec,"19/09/2023, 13:47:06.010825",1.2059895992279053
