Start Time,Url,Status Code,File Size,Operation,Time Delay,End Time,Elapsed Time
"20/09/2023, 10:27:12.400276",https://www.studiesinaustralia.com/courses-in-australia/avondale-university,200,70 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:15.136480",2.736204147338867
"20/09/2023, 10:27:12.404436",https://www.studiesinaustralia.com/courses-in-australia/federation-university-australia-brisbane,200,76 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:15.357610",2.9531748294830322
"20/09/2023, 10:27:12.399303",https://www.studiesinaustralia.com/courses-in-australia/australian-institute-of-business-and-technology,200,70 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:15.437799",3.038496494293213
"20/09/2023, 10:27:12.402410",https://www.studiesinaustralia.com/courses-in-australia/federation-university-australia,200,74 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:15.443750",3.041339874267578
"20/09/2023, 10:27:12.398293",https://www.studiesinaustralia.com/courses-in-australia/acu-english-language-centres,200,73 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:15.444738",3.046444892883301
"20/09/2023, 10:27:12.399303",https://www.studiesinaustralia.com/courses-in-australia/australian-catholic-university-acu,200,72 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:15.445753",3.046450614929199
"20/09/2023, 10:27:15.453780",https://www.studiesinaustralia.com/courses-in-australia/southern-cross-university,200,70 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:16.891164",1.4373836517333984
"20/09/2023, 10:27:15.366563",https://www.studiesinaustralia.com/courses-in-australia/la-trobe-university,200,71 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:17.231038",1.8644754886627197
"20/09/2023, 10:27:15.460785",https://www.studiesinaustralia.com/courses-in-australia/the-university-of-notre-dame-australia,200,70 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:17.469644",2.0088589191436768
"20/09/2023, 10:27:15.352516",https://www.studiesinaustralia.com/courses-in-australia/la-trobe-college-australia,200,70 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:17.811750",2.4592339992523193
"20/09/2023, 10:27:15.456780",https://www.studiesinaustralia.com/courses-in-australia/tafe-south-australia-tafe-sa,200,79 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:17.812750",2.355970621109009
"20/09/2023, 10:27:15.459785",https://www.studiesinaustralia.com/courses-in-australia/tafe-south-australia-tafe-sa-english-language,200,69 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:17.881258",2.4214730262756348
"20/09/2023, 10:27:16.900116",https://www.studiesinaustralia.com/courses-in-australia/the-university-of-notre-dame-australia-study-abroad,200,68 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:19.252694",2.3525776863098145
"20/09/2023, 10:27:17.478683",https://www.studiesinaustralia.com/courses-in-australia/university-of-southern-queensland-usq,200,76 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:19.438231",1.959547996520996
"20/09/2023, 10:27:17.892438",https://www.studiesinaustralia.com/courses-in-australia/ahts-training-and-education,200,62 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:19.752249",1.8598101139068604
"20/09/2023, 10:27:17.239152",https://www.studiesinaustralia.com/courses-in-australia/university-of-south-australia-unisa,200,72 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:19.751261",2.51210880279541
"20/09/2023, 10:27:17.824789",https://www.studiesinaustralia.com/courses-in-australia/ah-b-college,200,62 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:19.753278",1.9284882545471191
"20/09/2023, 10:27:17.821789",https://www.studiesinaustralia.com/courses-in-australia/university-of-technology-sydney,200,72 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:19.857474",2.0356853008270264
"20/09/2023, 10:27:19.271978",https://www.studiesinaustralia.com/courses-in-australia/aiwt,200,62 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:20.722885",1.45090651512146
"20/09/2023, 10:27:19.454418",https://www.studiesinaustralia.com/courses-in-australia/alacc-health-college-australia,200,63 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:20.752482",1.2981040477752686
"20/09/2023, 10:27:19.767252",https://www.studiesinaustralia.com/courses-in-australia/ausinet,200,62 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:21.897776",2.130523920059204
"20/09/2023, 10:27:19.765246",https://www.studiesinaustralia.com/courses-in-australia/aoi-institute,200,62 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:22.314808",2.549562454223633
"20/09/2023, 10:27:19.769251",https://www.studiesinaustralia.com/courses-in-australia/aveta-australian-vocational-education-training-academy,200,62 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:22.318789",2.549537181854248
"20/09/2023, 10:27:19.864324",https://www.studiesinaustralia.com/courses-in-australia/academia-australia,200,62 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:22.720811",2.856487512588501
"20/09/2023, 10:27:20.768060",https://www.studiesinaustralia.com/courses-in-australia/academies-australasia-polytechnic,200,63 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:23.203855",2.435795307159424
"20/09/2023, 10:27:20.735586",https://www.studiesinaustralia.com/courses-in-australia/academies-australasia-institute-pty-ltd,200,62 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:23.326452",2.59086537361145
"20/09/2023, 10:27:21.907784",https://www.studiesinaustralia.com/courses-in-australia/academique-pty-ltd,200,61 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:24.553699",2.6459145545959473
"20/09/2023, 10:27:23.214403",https://www.studiesinaustralia.com/courses-in-australia/academy-of-music-and-performing-arts,200,63 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:24.760863",1.546459674835205
"20/09/2023, 10:27:22.733193",https://www.studiesinaustralia.com/courses-in-australia/academy-of-international-education-australia-the,200,62 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:25.029836",2.296643018722534
"20/09/2023, 10:27:23.336709",https://www.studiesinaustralia.com/courses-in-australia/acknowledge-education,200,60 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:25.045828",1.7091186046600342
"20/09/2023, 10:27:22.337113",https://www.studiesinaustralia.com/courses-in-australia/academy-of-interactive-entertainment-aie,200,63 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:25.080462",2.7433488368988037
"20/09/2023, 10:27:22.334022",https://www.studiesinaustralia.com/courses-in-australia/academy-of-information-technology-pty-ltd,200,63 KB,Save universities or institutions url,0 sec,"20/09/2023, 10:27:25.276534",2.9425113201141357
